,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes
522,565540,281518,mobile,ended,-43.0,,
523,505091,213807,connect,ended,-155.0,,
524,505567,308565,mobile,ended,-3.0,,
525,505859,268874,mobile,ended,42.0,,
526,506321,393781,connect,ended,-1.0,,
527,506686,400229,mobile,ended,,,
528,506970,226932,mobile,ended,-10.0,,
529,507103,393584,mobile,ended,15.0,,
530,507112,221297,mobile,ended,7.0,,
531,508737,358274,mobile,canceled,,,
532,509566,372647,mobile,ended,181.0,,
533,509688,339975,mobile,ended,14.0,,
534,510435,367627,mobile,ended,,,
535,511872,386539,mobile,ended,7.0,,
536,512237,382279,mobile,ended,-10.0,,
537,514630,366287,connect,canceled,,,
538,514673,402194,mobile,ended,-52.0,,
539,515572,397136,mobile,canceled,,,
540,516244,349131,mobile,ended,-34.0,,
541,516585,389785,connect,ended,162.0,,
542,518058,320481,mobile,canceled,,,
543,518871,393981,mobile,ended,,,
544,519260,359719,mobile,ended,946.0,,
545,519450,358846,mobile,ended,-12.0,,
546,519451,251815,connect,ended,-76.0,,
547,520147,392147,mobile,ended,1.0,536236.0,390.0
548,520580,168079,mobile,ended,-20.0,,
549,520711,402078,mobile,ended,-17.0,,
550,520750,337219,connect,ended,-154.0,,
551,520979,381012,mobile,canceled,,,
552,521501,278953,mobile,ended,,,
553,521526,282208,mobile,ended,-53.0,,
554,521594,241058,mobile,canceled,,,
555,522476,376514,mobile,ended,300.0,,
556,523920,363431,mobile,ended,-25.0,,
557,524487,380866,mobile,ended,-15.0,545830.0,120.0
558,525175,280805,connect,ended,9.0,,
559,525435,335857,mobile,canceled,,,
560,525776,285846,mobile,ended,22.0,,
561,526081,406054,mobile,canceled,,,
562,526194,325154,mobile,canceled,,,
563,527465,381512,mobile,ended,28.0,,
564,527709,393442,mobile,ended,106.0,,
565,528269,385174,mobile,canceled,,,
566,528782,370513,mobile,ended,3.0,,
567,528783,266641,mobile,canceled,,,
568,529239,354515,mobile,ended,10.0,565896.0,360.0
569,529467,372128,mobile,canceled,,,
570,529492,207715,mobile,ended,-169.0,,
571,529693,281955,mobile,ended,-67.0,,
572,530325,356434,mobile,ended,-101.0,,
573,530357,262206,mobile,ended,14.0,,
574,530971,241568,mobile,ended,3371.0,,
575,531233,276202,mobile,ended,-19.0,,
576,531451,378003,mobile,ended,0.0,,
577,531589,290600,connect,canceled,,,
578,531860,350475,mobile,ended,,,
579,532171,368448,mobile,ended,9.0,,
580,532215,408131,mobile,canceled,,,
581,532248,332611,mobile,ended,1110.0,,
582,532393,406388,mobile,ended,-54.0,,
583,532695,320824,connect,ended,0.0,,
584,533129,405683,mobile,ended,-138.0,,
585,533326,301632,mobile,ended,38.0,,
586,533519,386928,mobile,canceled,,,
587,533720,385295,mobile,ended,6.0,,
588,565543,364882,connect,ended,82.0,,
